Antigen,Antigen,Antigen,Antigen,Antigen
"Matrix-remodeling-associated protein 5","Homo sapiens (human)","42","60","19"
"Fractalkine","Homo sapiens (human)","11","38","7"
"Putative uncharacterized protein C1orf220","Homo sapiens (human)","3","5","2"
"Chromosome 17 open reading frame 49","Canis lupus (wolf or dog)","1","1","1"
"Hemicentin-1","Homo sapiens (human)","117","232","20"
"RAC-gamma serine/threonine-protein kinase","Homo sapiens (human)","12","79","14"
"Olfactory receptor 1S2","Homo sapiens (human)","1","1","1"
"Guanine nucleotide-binding protein G(t) subunit alpha-2","Homo sapiens (human)","3","3","3"
"Neurotensin receptor type 1","Homo sapiens (human)","7","20","6"
"Coiled-coil domain-containing protein 192","Homo sapiens (human)","3","3","2"
"Insulin gene enhancer protein ISL-2 (UniProt:Q96A47)","Homo sapiens (human)","4","7","4"
"Insulin gene enhancer protein ISL-1","Homo sapiens (human)","3","6","4"
"Transcription factor RFX4 (UniProt:Q33E94)","Homo sapiens (human)","495","1012","9"
"Lamin tail domain-containing protein 2 (Fragment)","Homo sapiens (human)","1","1","1"
"Solute carrier family 22 member 6","Homo sapiens (human)","11","11","6"
"Thyroid receptor-interacting protein 6","Homo sapiens (human)","26","36","18"
"Olfactory receptor 56A5","Homo sapiens (human)","2","3","2"
"T cell receptor delta variable 3","Homo sapiens (human)","2","2","2"
"Pleckstrin homology domain-containing family A member 5","Homo sapiens (human)","22","52","14"
"Ras-related protein Rab-39A","Homo sapiens (human)","3","4","2"
"Uncharacterized protein C5orf47","Homo sapiens (human)","5","8","3"
"Coiled-coil domain-containing protein 71","Homo sapiens (human)","16","41","20"
"DnaJ homolog subfamily C member 24","Homo sapiens (human)","4","12","6"
"Syntaxin-19","Homo sapiens (human)","2","2","2"
"Hydroxyacylglutathione hydrolase-like protein (UniProt:B4DED4)","Homo sapiens (human)","5","7","5"
"Thiamine transporter 1","Homo sapiens (human)","18","21","9"
"Phospholipid phosphatase 1","Homo sapiens (human)","40","85","16"
"GPI transamidase component PIG-T (Fragment) (UniProt:A0A1W2PPR6)","Homo sapiens (human)","7","7","1"
"Fas associated factor family member 2","Canis lupus (wolf or dog)","1","1","1"
"Potassium channel subfamily K member 12","Homo sapiens (human)","6","10","6"
"Phosphatidylinositol-glycan-specific phospholipase D","Homo sapiens (human)","17","27","10"
"Sodium channel protein type 10 subunit alpha","Homo sapiens (human)","12","19","6"
"DPH3 homolog","Homo sapiens (human)","5","13","7"
"Adhesion G-protein coupled receptor G7","Homo sapiens (human)","14","17","9"
"Protein Mis18-beta","Homo sapiens (human)","12","22","12"
"Collagen alpha-6(VI) chain","Homo sapiens (human)","22","30","13"
"Anoctamin-8","Homo sapiens (human)","12","17","8"
"HLA class I histocompatibility antigen, A alpha chain (Fragment) (UniProt:A0A140T9I0)","Homo sapiens (human)","6","7","4"
"HLA-A*02:16 chain","","4","24","1"
"Protein MTO1 homolog, mitochondrial","Homo sapiens (human)","34","98","39"
"Metallophosphoesterase domain-containing protein 1","Homo sapiens (human)","6","9","3"
"Protein kinase C zeta type (UniProt:Q05513)","Homo sapiens (human)","7","31","11"
"Rap guanine nucleotide exchange factor 4 (UniProt:Q8WZA2)","Homo sapiens (human)","28","73","6"
"Rap guanine nucleotide exchange factor 4 (UniProt:B7Z278)","Homo sapiens (human)","4","5","4"
"Ubiquitin-like protein 4A","Homo sapiens (human)","8","32","18"
"Receptor-transporting protein 5","Homo sapiens (human)","8","14","5"
"E3 ubiquitin-protein ligase FANCL (Fragment) (UniProt:C9JZA9)","Homo sapiens (human)","3","3","3"
"Methionyl-tRNA synthetase","Canis lupus (wolf or dog)","2","2","1"
"DENN domain containing 4A","Canis lupus (wolf or dog)","1","1","1"
"Coiled-coil domain-containing protein 84","Homo sapiens (human)","3","11","8"
"MAX gene-associated protein (Fragment) (UniProt:H3BU53)","Homo sapiens (human)","5","5","3"
"Muscarinic acetylcholine receptor M2","Homo sapiens (human)","1","1","1"
"Ferredoxin-dependent glutamate synthase 2","Microscilla marina","1","1","1"
"Chymotrypsin-like protease CTRL-1","Homo sapiens (human)","1","1","1"
"UDP-glucuronic acid decarboxylase 1 (Fragment) (UniProt:C9JE50)","Homo sapiens (human)","1","1","1"
"Bromodomain testis-specific protein","Homo sapiens (human)","12","22","12"
"Catenin alpha-3","Homo sapiens (human)","11","13","6"
"EPH receptor B4, isoform CRA_b","Homo sapiens (human)","3","3","3"
"Ephrin type-B receptor 4","Homo sapiens (human)","101","286","10"
"DNA-directed RNA polymerase II subunit RPB11-a (UniProt:F6S314)","Homo sapiens (human)","1","1","1"
"Protein-tyrosine sulfotransferase 1","Homo sapiens (human)","6","10","6"
"5-hydroxytryptamine receptor 6","Homo sapiens (human)","9","12","5"
"Serine/threonine-protein phosphatase 2A activator (UniProt:Q68CR8)","Homo sapiens (human)","4","7","3"
"E3 ubiquitin-protein ligase RNF144B","Homo sapiens (human)","6","10","5"
"A disintegrin and metalloproteinase with thrombospondin motifs 18","Homo sapiens (human)","3","4","3"
"Glia maturation factor gamma","Canis lupus (wolf or dog)","2","2","1"
"Synaptotagmin-1","Homo sapiens (human)","2","2","2"
"Centrosomal protein of 70 kDa (UniProt:B7Z2D2)","Homo sapiens (human)","1","1","1"
"Interferon-induced protein with tetratricopeptide repeats 1B","Homo sapiens (human)","5","14","4"
"Constitutive androstane receptor SV19","Homo sapiens (human)","1","1","1"
"YTH domain-containing family protein 3 (UniProt:A0A087WY31)","Homo sapiens (human)","5","5","3"
"Early growth response protein 3","Homo sapiens (human)","2","2","2"
"Vascular non-inflammatory molecule 3","Homo sapiens (human)","4","6","4"
"Chromobox protein homolog 7 (UniProt:O95931)","Homo sapiens (human)","6","30","4"
"Homocysteine inducible ER protein with ubiquitin like domain 1","Canis lupus (wolf or dog)","1","1","1"
"Calcium-binding and spermatid-specific protein 1","Homo sapiens (human)","6","12","6"
"Espin-like protein","Homo sapiens (human)","10","15","8"
"Nuclear receptor subfamily 4 group A member 2 (UniProt:E9PBQ4)","Homo sapiens (human)","3","3","2"
"Cell migration-inducing and hyaluronan-binding protein","Homo sapiens (human)","39","68","12"
"Transmembrane and ubiquitin-like domain-containing protein 1","Homo sapiens (human)","10","36","16"
"60S ribosomal protein L32","Canis lupus (wolf or dog)","1","1","1"
"60S ribosomal protein L32 (UniProt:F8W727)","Homo sapiens (human)","4","4","1"
"Growth arrest and DNA damage-inducible protein GADD45 alpha (UniProt:A5JUZ3)","Homo sapiens (human)","5","5","5"
"tRNA (guanine(37)-N1)-methyltransferase","Homo sapiens (human)","21","64","27"
"tRNA (cytosine(38)-C(5))-methyltransferase","Homo sapiens (human)","12","14","7"
"Timeless circadian regulator","Canis lupus (wolf or dog)","1","1","1"
"Myosin IF","Canis lupus (wolf or dog)","1","1","1"
"Ankyrin repeat and SOCS box protein 12","Homo sapiens (human)","4","4","4"
"Glucose-fructose oxidoreductase domain containing 2","Canis lupus (wolf or dog)","1","1","1"
"Meprin A subunit alpha","Homo sapiens (human)","2","2","2"
"DNA (cytosine-5)-methyltransferase","Canis lupus (wolf or dog)","1","1","1"
"Transcription cofactor vestigial-like protein 4 (UniProt:G5E9M7)","Homo sapiens (human)","1","1","1"
"WW domain-containing oxidoreductase","Homo sapiens (human)","15","52","18"
"Zinc finger protein 3","Homo sapiens (human)","2","2","1"
"Methyltransferase-like protein 9 (UniProt:Q9H1A3)","Homo sapiens (human)","21","70","15"
"Leucine-rich repeat and calponin homology domain-containing protein 2","Homo sapiens (human)","26","53","14"
"60S ribosomal protein L13a","Canis lupus (wolf or dog)","2","2","1"
"Xylosyltransferase 2 (UniProt:A0A0C4DFW8)","Homo sapiens (human)","5","7","6"
"Unconventional myosin-Ih (UniProt:Q8N1T3)","Homo sapiens (human)","15","26","7"
"Unconventional myosin-Ih (UniProt:A0A140TA25)","Homo sapiens (human)","5","10","6"
"Centrosomal protein of 290 kDa (UniProt:J3KNF5)","Homo sapiens (human)","3","3","3"
"Phospholipid phosphatase-related protein type 4 (UniProt:Q7Z2D5)","Homo sapiens (human)","16","27","8"
"Ubiquitin carboxyl-terminal hydrolase (UniProt:H0YMI4)","Homo sapiens (human)","3","5","4"
"Pecanex 3","Canis lupus (wolf or dog)","1","1","1"
"Malignant T-cell-amplified sequence","Canis lupus (wolf or dog)","2","2","1"
"Phospholipid scramblase family member 5","Homo sapiens (human)","2","2","2"
"Putative protocadherin beta-18","Homo sapiens (human)","15","22","6"
"Protocadherin beta-6 (UniProt:A0A096LNH7)","Homo sapiens (human)","4","6","4"
"Protocadherin beta-8","Homo sapiens (human)","15","24","12"
"Protocadherin gamma-B3","Homo sapiens (human)","13","42","5"
"Phosphatidylcholine:ceramide cholinephosphotransferase 1","Homo sapiens (human)","5","6","4"
"G patch domain-containing protein 11","Homo sapiens (human)","5","23","13"
"Ecto-NOX disulfide-thiol exchanger 2 (UniProt:Q16206)","Homo sapiens (human)","9","17","7"
"Ecto-NOX disulfide-thiol exchanger 2 (Fragment)","Homo sapiens (human)","2","2","2"
"NACHT, LRR and PYD domains-containing protein 4 (Fragment)","Homo sapiens (human)","1","1","1"
"Granule associated Rac and RHOG effector protein 1","Homo sapiens (human)","15","76","16"
"Chloride channel 7, isoform CRA_c","Homo sapiens (human)","3","3","2"
"Leucine-rich PPR motif-containing protein, mitochondrial (UniProt:A0A0C4DG06)","Homo sapiens (human)","4","10","8"
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial","Homo sapiens (human)","16","36","19"
"Uncharacterized protein C20orf144","Homo sapiens (human)","1","2","1"
"Can f 4","Canis lupus (wolf or dog)","56","216","1"
"Fer-1-like protein 5 (UniProt:A0AVI2)","Homo sapiens (human)","12","16","7"
"Fas-binding factor 1 (UniProt:K7ENL6)","Homo sapiens (human)","3","6","2"
"IQ motif and SEC7 domain-containing protein 2 (UniProt:A0A1W2PR28)","Homo sapiens (human)","6","6","6"
"Beta-secretase 1 (UniProt:P56817)","Homo sapiens (human)","7","13","5"
"Non-structural protein V","Measles morbillivirus (Cell-associated subacute sclerosing panencephalitis)","1","1","1"
"GDNF family receptor alpha-1","Homo sapiens (human)","5","5","4"
"Uncharacterized protein C2orf15 (UniProt:Q8WU43)","Homo sapiens (human)","2","2","2"
"Probable ATP-dependent RNA helicase DDX53","Homo sapiens (human)","8","11","6"
"Collagen alpha-4(IV) chain","Homo sapiens (human)","20","36","9"
"Collagen alpha-1(XIX) chain","Homo sapiens (human)","11","19","10"
"Neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adapter 2","Homo sapiens (human)","6","7","5"
"Meprin A subunit beta","Homo sapiens (human)","2","2","2"
"PHD finger protein 14 (UniProt:B4DG57)","Homo sapiens (human)","6","10","7"
"Arylsulfatase L (UniProt:F5H324)","Homo sapiens (human)","1","1","1"
"NACHT, LRR and PYD domains-containing protein 9","Homo sapiens (human)","5","9","5"
"PWWP domain-containing protein 2B","Homo sapiens (human)","5","7","6"
"Cathepsin K","Homo sapiens (human)","48","236","13"
"Zinc finger MYND domain-containing protein 15","Homo sapiens (human)","7","10","6"
"Beta-1,4-galactosyltransferase 7","Homo sapiens (human)","13","16","9"
"Putative nucleoside diphosphate kinase","Homo sapiens (human)","39","66","7"
"Probable phosphoglycerate mutase 4","Homo sapiens (human)","39","91","11"
"Replication initiator 1 (UniProt:E5RK52)","Homo sapiens (human)","1","1","1"
"Glutaredoxin-2, mitochondrial","Homo sapiens (human)","7","9","7"
"Cilia- and flagella-associated protein 52","Homo sapiens (human)","4","5","3"
"Beta-1,3-galactosyltransferase 6","Homo sapiens (human)","15","35","14"
"Laminin subunit alpha-4 (UniProt:A0A0A0MTC7)","Homo sapiens (human)","22","35","8"
"Otoferlin (UniProt:Q9HC10)","Homo sapiens (human)","10","17","5"
"Envoplakin (UniProt:K7EKI0)","Homo sapiens (human)","11","18","5"
"Neuron navigator 2 (UniProt:Q8IVL1)","Homo sapiens (human)","53","126","17"
"Kin of IRRE-like protein 3 (UniProt:Q8IZU9)","Homo sapiens (human)","10","17","4"
"Cytosolic Fe-S cluster assembly factor NUBP1 (Fragment)","Homo sapiens (human)","1","1","1"
"Suppressor of cytokine signaling 6","Homo sapiens (human)","9","63","18"
"Selenide, water dikinase 2","Homo sapiens (human)","18","81","20"
"Glycogen [starch] synthase, liver","Homo sapiens (human)","13","20","6"
"MOB kinase activator 3A","Canis lupus (wolf or dog)","1","1","1"
"Vascular cell adhesion protein 1 (UniProt:E9PDD2)","Homo sapiens (human)","3","3","1"
"C-C motif chemokine 18","Homo sapiens (human)","12","66","6"
"Transmembrane glycoprotein NMB (UniProt:A0A3B3ISS6)","Homo sapiens (human)","10","14","3"
"Cytochrome b-245 light chain (UniProt:H3BR52)","Homo sapiens (human)","2","2","1"
"T-cell immunoglobulin and mucin domain-containing protein 4","Homo sapiens (human)","24","67","14"
"Nuclear apoptosis-inducing factor 1","Homo sapiens (human)","9","35","13"
"Protein TBATA (UniProt:A0A0A0MSR7)","Homo sapiens (human)","1","2","1"
"Indoleamine 2,3-dioxygenase 1","Homo sapiens (human)","34","158","13"
"Plakophilin-1","Homo sapiens (human)","25","38","10"
"Paired mesoderm homeobox protein 1 (UniProt:P54821)","Homo sapiens (human)","12","18","9"
"Homeobox protein unc-4 homolog","Homo sapiens (human)","4","7","4"
"HCG1786841, isoform CRA_b","Homo sapiens (human)","1","1","1"
"Thymus-specific serine protease (Fragment)","Homo sapiens (human)","2","2","1"
"Aquaporin 3 (Gill blood group), isoform CRA_d","Homo sapiens (human)","5","16","5"
"Pleckstrin homology-like domain family A member 3","Homo sapiens (human)","12","16","9"
"C-C motif chemokine 21","Homo sapiens (human)","8","17","4"
"SLAM family member 5","Homo sapiens (human)","59","178","17"
"Calcium-activated chloride channel regulator 2","Homo sapiens (human)","22","33","6"
"Anthrax toxin receptor","Homo sapiens (human)","49","82","5"
"Anthrax toxin receptor 2","Homo sapiens (human)","39","78","10"
"Fibrinogen alpha chain (UniProt:A0A087WUA0)","Homo sapiens (human)","28","44","7"
"Prostaglandin-H2 D-isomerase","Homo sapiens (human)","45","167","7"
"Protein Shroom2 (UniProt:Q13796)","Homo sapiens (human)","8","11","9"
"Interleukin-10 receptor subunit alpha","Homo sapiens (human)","21","99","17"
"Voltage-dependent calcium channel subunit alpha-2/delta-2 (UniProt:Q9NY47)","Homo sapiens (human)","58","88","9"
"Epithelial membrane protein 2","Homo sapiens (human)","1","1","1"
"Tubulin beta-5 chain","Bos taurus (bovine)","18","18","1"
"Proteasome subunit alpha type-5","Bos taurus (bovine)","7","7","1"
"Insulin-like growth factor-binding protein 3 (UniProt:P17936)","Homo sapiens (human)","69","560","13"
"Aminopeptidase N","Homo sapiens (human)","191","514","14"
"Slit homolog 3 protein (UniProt:A0A0A0MSC8)","Homo sapiens (human)","3","4","2"
"Slit homolog 3 protein (UniProt:O75094)","Homo sapiens (human)","55","161","12"
"Laminin subunit gamma-2","Homo sapiens (human)","40","83","14"
"HLA-DRB1*08:01 chain","","2","2","2"
"Immunoglobulin heavy variable 1/OR15-9 (non-functional) (Fragment)","Homo sapiens (human)","2","2","1"
"Extracellular sulfatase Sulf-2 (Fragment)","Homo sapiens (human)","2","2","1"
"Immunoglobulin heavy variable 3-13","Homo sapiens (human)","12","14","5"
"Protein TBATA (UniProt:Q96M53)","Homo sapiens (human)","1","3","1"
"Zinc finger CCHC domain-containing protein 7 (UniProt:Q8N3Z6)","Homo sapiens (human)","19","32","15"
"E3 ubiquitin-protein ligase RNF26","Homo sapiens (human)","18","43","18"
"Immunoglobulin heavy variable 1/OR21-1 (non-functional) (Fragment)","Homo sapiens (human)","3","3","2"
"Deoxyribonuclease gamma","Homo sapiens (human)","89","201","21"
"Macrophage colony-stimulating factor 1 receptor (UniProt:P07333)","Homo sapiens (human)","85","519","18"
"HLA class II histocompatibility antigen, DP beta 1 chain (Fragment) (UniProt:A0A182DWF5)","Homo sapiens (human)","2","2","1"
"Myosin regulatory light chain 2, skeletal muscle isoform","Homo sapiens (human)","80","180","5"
"Calcitonin gene-related peptide 1","Homo sapiens (human)","2","2","1"
"Aquaporin-12A","Homo sapiens (human)","2","2","2"
"Pro-opiomelanocortin","Homo sapiens (human)","23","65","2"
"Pro-opiomelanocortin (Fragment)","Homo sapiens (human)","6","6","2"
"Single-stranded DNA-binding protein 4 (Fragment)","Homo sapiens (human)","1","1","1"
"Filensin","Homo sapiens (human)","3","4","3"
"Divergent protein kinase domain 2A (UniProt:Q8NDZ4)","Homo sapiens (human)","22","50","15"
"Protein bassoon","Homo sapiens (human)","35","101","12"
"Phosphoglucomutase-1 (UniProt:A0A3B3ITK7)","Homo sapiens (human)","23","27","10"
"Protein Wiz (UniProt:M0QXA7)","Homo sapiens (human)","1","1","1"
"Serine protease 56","Homo sapiens (human)","39","45","9"
"Metalloreductase STEAP3 (UniProt:Q658P3)","Homo sapiens (human)","43","88","10"
"Metalloreductase STEAP3 (UniProt:B8ZZX6)","Homo sapiens (human)","57","83","13"
"Lysine-specific demethylase hairless","Homo sapiens (human)","8","14","6"
"Mesothelin","Homo sapiens (human)","122","152","9"
"Epidermal growth factor receptor kinase substrate 8-like protein 2 (UniProt:A0A3B3ISQ4)","Homo sapiens (human)","13","17","6"
"Plexin-D1 (UniProt:Q9Y4D7)","Homo sapiens (human)","145","612","29"
"DNA-binding protein inhibitor ID-1","Homo sapiens (human)","16","44","11"
"Ras-interacting protein 1","Homo sapiens (human)","25","89","14"
"Protein CUSTOS","Homo sapiens (human)","6","25","12"
"Chromosome 12 open reading frame 43 (UniProt:E7ENF1)","Homo sapiens (human)","1","1","1"
"Metalloprotease TIKI1","Homo sapiens (human)","16","19","11"
"Tsukushin","Homo sapiens (human)","32","84","8"
"Metastasis associated 1 family, member 3, isoform CRA_a","Homo sapiens (human)","4","4","2"
"Thioredoxin domain containing 14, isoform CRA_a","Homo sapiens (human)","3","3","2"
"LEM domain-containing protein 2 (Fragment) (UniProt:H7C2Z0)","Homo sapiens (human)","1","1","1"
"Leishmanolysin-like peptidase (UniProt:F8WCE5)","Homo sapiens (human)","5","8","5"
"Cathepsin L1 (UniProt:P07711)","Homo sapiens (human)","115","292","21"
"DnaJ homolog subfamily C member 12","Homo sapiens (human)","19","32","12"
"Pantothenate kinase 1","Homo sapiens (human)","10","21","9"
"X-box-binding protein 1 (UniProt:P17861)","Homo sapiens (human)","8","10","8"
"40S ribosomal protein S12","Homo sapiens (human)","62","110","22"
"Anthrax toxin receptor 1","Homo sapiens (human)","30","72","19"
"Anthrax toxin receptor 1 (Fragment)","Homo sapiens (human)","1","1","1"
"Transmembrane protein 60","Homo sapiens (human)","9","22","9"
"Myeloid zinc finger 1","Homo sapiens (human)","1","2","2"
"Palmdelphin (UniProt:Q9NP74)","Homo sapiens (human)","15","85","8"
"Protein kinase C and casein kinase substrate in neurons protein 3 (UniProt:Q9UKS6)","Homo sapiens (human)","15","19","6"
"Caskin-2 (UniProt:Q8WXE0)","Homo sapiens (human)","44","153","18"
"G protein-coupled receptor 107, isoform CRA_c","Homo sapiens (human)","1","1","1"
"Cation-transporting ATPase (Fragment)","Homo sapiens (human)","1","1","1"
"Retinoic acid receptor alpha (UniProt:A8MUP8)","Homo sapiens (human)","27","42","13"
"Protein Wnt-5a","Homo sapiens (human)","13","33","13"
"Paralemmin-1 (UniProt:O75781)","Homo sapiens (human)","8","16","4"
"Semaphorin-3B (UniProt:Q13214)","Homo sapiens (human)","22","33","7"
"HCG2043421, isoform CRA_c","Homo sapiens (human)","5","6","3"
"Iroquois-class homeodomain protein IRX-3","Homo sapiens (human)","11","26","12"
"Beta-1,3-N-acetylglucosaminyltransferase lunatic fringe","Homo sapiens (human)","35","66","17"
"Histone-lysine N-methyltransferase EHMT2 (UniProt:A2ABF8)","Homo sapiens (human)","4","6","3"
"Tubulin beta-4A chain (UniProt:M0QX14)","Homo sapiens (human)","1","1","1"
"Transcriptional enhancer factor TEF-1 (UniProt:E9PKB7)","Homo sapiens (human)","3","4","2"
"Ensconsin (UniProt:Q14244)","Homo sapiens (human)","18","47","13"
"Prostasin","Homo sapiens (human)","14","15","4"
"Iroquois-class homeodomain protein IRX-4","Homo sapiens (human)","1","1","1"
"Serine protease HTRA1 (UniProt:Q92743)","Homo sapiens (human)","60","234","17"
"Serine protease HTRA3","Homo sapiens (human)","13","19","7"
"Ribonucleoprotein PTB-binding 2","Homo sapiens (human)","23","96","17"
"Transcriptional-regulating factor 1","Homo sapiens (human)","24","36","14"
"Oncostatin-M-specific receptor subunit beta","Homo sapiens (human)","59","239","17"
"Tuberin (UniProt:A0A2R8YDZ2)","Homo sapiens (human)","1","1","1"
"rRNA methyltransferase 2, mitochondrial (UniProt:A0A3B3ITW8)","Homo sapiens (human)","1","1","1"
"Tumor necrosis factor receptor superfamily member 3","Homo sapiens (human)","11","52","10"
"T-cell immunoreceptor with Ig and ITIM domains","Homo sapiens (human)","6","6","3"
"DNA oxidative demethylase ALKBH2","Homo sapiens (human)","10","33","14"
"E3 ubiquitin-protein ligase RNF8","Homo sapiens (human)","10","24","12"
"Motor neuron and pancreas homeobox protein 1","Homo sapiens (human)","11","17","12"
"Spliceosome RNA helicase DDX39B (Fragment) (UniProt:F6UJC5)","Homo sapiens (human)","1","1","1"
"Putative protein ZNF321","Homo sapiens (human)","2","2","2"
"Transcription factor SOX-18","Homo sapiens (human)","16","115","10"
"B-cell CLL/lymphoma 9-like protein (UniProt:A0A087WZX0)","Homo sapiens (human)","3","3","1"
"Zinc finger protein 384","Homo sapiens (human)","17","23","14"
"SLC2A4 regulator","Homo sapiens (human)","10","16","10"
"Krueppel-like factor 5","Homo sapiens (human)","27","115","15"
"Zinc finger protein 628 (UniProt:Q5EBL2)","Homo sapiens (human)","8","23","5"
"Ras GTPase-activating protein nGAP (Fragment)","Homo sapiens (human)","6","6","2"
"EWS RNA-binding protein variant 6","Homo sapiens (human)","5","5","1"
"Acylphosphatase-2 (UniProt:P14621)","Homo sapiens (human)","4","33","5"
"Acylphosphatase (UniProt:E9PF46)","Homo sapiens (human)","1","2","2"
"E3 ubiquitin-protein ligase NEURL1B","Homo sapiens (human)","11","24","12"
"PRKR-interacting protein 1 (UniProt:Q9H875)","Homo sapiens (human)","8","14","8"
"E3 ubiquitin-protein ligase RNF34 (Fragment)","Homo sapiens (human)","1","1","1"
"Ankyrin repeat domain-containing protein 13C","Homo sapiens (human)","18","31","17"
"GRAM domain-containing protein 2B (UniProt:Q96HH9)","Homo sapiens (human)","21","106","16"
"Cytoplasmic polyadenylation element-binding protein 3","Homo sapiens (human)","7","9","7"
"Krueppel-like factor 16","Homo sapiens (human)","15","37","12"
"Exophilin-5","Homo sapiens (human)","14","37","10"
"Nuclear receptor subfamily 4 group A member 1 (UniProt:F5GXF0)","Homo sapiens (human)","5","6","5"
"Progressive ankylosis protein homolog","Homo sapiens (human)","42","155","34"
"Ly6/PLAUR domain-containing protein 3","Homo sapiens (human)","5","14","5"
"Multiple PDZ domain protein (UniProt:O75970)","Homo sapiens (human)","46","352","22"
"Paired box protein Pax-9","Homo sapiens (human)","10","18","7"
"Pleckstrin homology-like domain family B member 2 (Fragment) (UniProt:E9PFQ4)","Homo sapiens (human)","11","11","2"
"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3","Homo sapiens (human)","24","41","16"
"Adenylate kinase isoenzyme 1 (UniProt:Q5T9B7)","Homo sapiens (human)","8","14","5"
"Adenylate kinase isoenzyme 1 (UniProt:P00568)","Homo sapiens (human)","30","47","5"
"Prolyl 4-hydroxylase subunit alpha-3","Homo sapiens (human)","10","22","7"
"Very low-density lipoprotein receptor","Homo sapiens (human)","34","54","13"
"Glutathione synthetase (UniProt:A0A2R8Y430)","Homo sapiens (human)","3","3","1"
"Cell cycle checkpoint control protein RAD9A","Homo sapiens (human)","13","30","13"
"Cathepsin F","Homo sapiens (human)","29","60","15"
"Retinoblastoma-like protein 2 (Fragment)","Homo sapiens (human)","5","5","2"
"Solute carrier family 26 member 6 (UniProt:A0A0C4DFT5)","Homo sapiens (human)","21","36","6"
"Nuclear receptor coactivator 7 (UniProt:H0Y6T0)","Homo sapiens (human)","5","5","2"
"Spatacsin (Fragment) (UniProt:H0YLK7)","Homo sapiens (human)","4","5","3"
"P2X purinoceptor 5","Homo sapiens (human)","10","15","4"
"MFS domain-containing protein","Homo sapiens (human)","15","47","6"
"Kynurenine--oxoglutarate transaminase 3","Homo sapiens (human)","26","102","27"
"F-box only protein 2 (Fragment)","Homo sapiens (human)","2","2","1"
"DNA polymerase kappa (UniProt:D6R9M8)","Homo sapiens (human)","1","1","1"
"Protein argonaute-1 (UniProt:Q5TA58)","Homo sapiens (human)","2","2","1"
"Protein argonaute-1 (UniProt:Q9UL18)","Homo sapiens (human)","33","68","21"
"Phospholipid phosphatase 2","Homo sapiens (human)","5","5","3"
"Sideroflexin-4 (Fragment)","Homo sapiens (human)","1","1","1"
"Protein shisa-5 (UniProt:Q8N114)","Homo sapiens (human)","27","76","21"
"Microtubule-associated protein 4 (Fragment)","Homo sapiens (human)","5","6","1"
"DNA ligase (UniProt:A0A0C4DGV9)","Homo sapiens (human)","2","2","2"
"Synaptotagmin-12","Homo sapiens (human)","4","8","6"
"Zinc finger protein DZIP1L","Homo sapiens (human)","8","12","6"
"Ankyrin repeat and SOCS box protein 1 (UniProt:B9A047)","Homo sapiens (human)","1","1","1"
"High molecular weight rhoptry protein 2","Plasmodium falciparum (malaria parasite P. falciparum)","98","99","2"
"Adhesion G protein-coupled receptor L1","Homo sapiens (human)","24","36","13"
"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8B","Homo sapiens (human)","10","18","9"
"Histone deacetylase 8 (UniProt:A0A3B3IT30)","Homo sapiens (human)","1","1","1"
"Histone deacetylase 8 (UniProt:A0A3B3IRI9)","Homo sapiens (human)","2","2","1"
"Histone deacetylase 8 (UniProt:E7EW22)","Homo sapiens (human)","1","1","1"
"UDP-glucuronosyltransferase 1-9","Homo sapiens (human)","9","18","4"
"Glutamate receptor ionotropic, kainate 2 (UniProt:A0A0A0MRL4)","Homo sapiens (human)","1","1","1"
"C-Jun-amino-terminal kinase-interacting protein 3 (UniProt:Q9UPT6)","Homo sapiens (human)","24","39","13"
"Complement C4-A (UniProt:A0A140TA32)","Homo sapiens (human)","3","3","3"
"Peptidyl-prolyl cis-trans isomerase C","Homo sapiens (human)","19","45","9"
"Hamartin (UniProt:Q86WV8)","Homo sapiens (human)","1","1","1"
"COP9 signalosome complex subunit 1 (UniProt:A8K070)","Homo sapiens (human)","6","8","3"
"Cyclic AMP-responsive element-binding protein 3-like protein 2 (UniProt:A0A087WUP1)","Homo sapiens (human)","2","2","2"
"Cyclic AMP-responsive element-binding protein 3-like protein 2 (UniProt:A0A087WU77)","Homo sapiens (human)","4","7","4"
"Carboxypeptidase Z","Homo sapiens (human)","33","51","11"
"TOM1-like protein 1 (UniProt:I3L4I4)","Homo sapiens (human)","3","4","2"
"TOM1-like protein 1 (UniProt:J3KQU4)","Homo sapiens (human)","1","1","1"
"DUF1907 domain-containing protein","Homo sapiens (human)","1","1","1"
"Ras-related protein Rab-22A","Homo sapiens (human)","28","29","3"
"Fanconi anemia group B protein (Fragment)","Homo sapiens (human)","1","1","1"
"40S ribosomal protein S10 (UniProt:A0A2R8YFH6)","Homo sapiens (human)","4","4","1"
"Adenylyl cyclase-associated protein 2","Homo sapiens (human)","15","40","9"
"Protein SMG8","Homo sapiens (human)","28","49","25"
"CDK4 protein","Homo sapiens (human)","2","2","2"
"Cyclin-dependent kinase 4 (UniProt:F8VYY1)","Homo sapiens (human)","4","4","2"
"Nucleoredoxin","Homo sapiens (human)","11","49","11"
